,Latitude,Longitude,pH,EC,N,P,K,B,Zn,Fe,OM,Texture
Bazar-I,34.3534623,72.297886,8,0.89,1.11,8.11,148,0.22,0.28,0.61,1.73,Silt Loam
Bazar-II,34.3523914,72.2922593,8.22,0.2,1.13,3.13,124,0.26,0.2,0.25,1.21,
Mangha I ,34.208476,71.91112,8.14,0.26,1.04,3.13,132,0.44,0.12,0.47,1.07,
Mangha II ,34.176526,71.930387,8.17,0.21,1.58,1.16,108,0.38,0.15,0.66,1.21,
Mangha III ,34.19065642,71.91681226,8.03,0.25,1.77,2.28,148,0.22,0.3,0.5,0.97,
Gujrat-I,34.2913056,72.1700537,8.11,0.68,2.94,1.72,110,0.44,0.2,0.92,0.86,
Gujrat-II,34.2993742,72.1851673,7.9,0.25,1.72,1.13,100,0.38,0.31,0.88,1.86,
Machai-I,34.3091483,72.287435,7.97,0.24,1.57,1.09,96,0.4,0.23,0.82,0.69,
Machai-II,34.311627,72.2778754,8.09,0.16,2.29,3.02,94,0.51,0.15,0.48,0.86,
Kot Ismail zai-I,34.1974753,72.1388719,8.01,0.27,1.77,3.39,86,0.42,0.17,0.55,1.79,
Kot Ismail zai-II,34.160328,72.144978,8.46,2.29,2.15,4.36,88,0.55,0.17,0.73,1.76,
Kot Ismail zai-III,34.168804,72.175966,8.32,0.26,1.52,3.28,82,0.61,0.17,0.96,1.69,
Kandar-I,34.1637799,72.1691069,8.26,0.23,1.32,6.18,136,0.53,0.21,0.48,1.21,
Kandar-II,34.1660959,72.1590754,8.3,0.28,1.88,2.24,84,0.57,0.14,0.56,1.19,silty clay loam 
Kata Khat-I,34.3022425,72.1852299,8.06,0.33,2.02,8.44,94,0.38,0.27,0.65,1.14,
Kata Khat-II,34.3082561,72.1863103,8.1,0.2,2.77,7.74,114,0.32,0.14,0.67,1.65,
Fatima-I,34.2590195,72.0756221,8.23,0.17,1.29,5.33,72,0.44,0.11,0.98,1.79,
Fatima-II,34.2597937,72.0834268,8.29,0.29,2.05,7.75,100,0.51,0.1,0.51,1.87,
Khazana Dheri-I,34.208823,71.962161,7.97,0.24,1.98,6.06,160,0.53,0.14,0.96,1.48,Silt Loam
Khazana Dheri-II,34.19568369,71.96382897,7.72,0.19,2.82,3.38,92,0.4,0.15,0.45,0.97,
Gharyala-I,34.2845713,72.2224345,7.61,2.58,1,3.75,82,0.73,0.13,0.45,1.87,Clay loam
Gharyala-II,34.2791507,72.2168478,8.04,0.18,1.15,1.88,96,0.75,0.19,0.64,0.35,Silt Loam
Bakhshali I ,34.274688,72.1455697,7.7,0.39,1.99,3.13,108,0.69,0.16,0.9,1.07,
Bakhshali II ,34.2785485,72.1473903,8.02,0.22,1.84,4.74,140,0.79,0.15,0.63,0.72,
Chamtar-I,34.1872539,71.9901687,7.76,0.26,1.99,1.62,130,0.84,0.18,0.44,1.21,silty clay loam 
Chamtar-II,34.1754937,71.9857896,7.9,0.2,0.76,7.2,148,0.79,0.11,0.46,0.97,Silt Loam
Toru-I,34.1321929,72.0930583,8,0.32,0.74,2.25,114,0.57,0.31,0.44,1.31,silty clay loam 
Toru-II,34.1323137,72.0766044,8.1,0.27,0.8,7.24,174,0.63,0.12,0.68,1.41,Silt Loam
Babiani-I,34.2390883,72.0868588,8.14,0.19,0.62,1.26,106,0.57,0.18,0.64,0.97,silty clay loam 
Babiani-II,34.2406208,72.0502165,7.96,0.24,0.56,2.76,78,0.96,0.1,0.71,1.14,
Gujjar Garhi-I,34.2295076,71.996269,7.87,0.3,0.62,3.09,124,0.24,0.25,0.44,1.03,
